phone number,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
394-8504,132.6,99,5.97,13.4,3,3.62,2
370-4139,206.9,121,9.31,7.6,4,2.05,1
382-6135,180.2,157,8.11,11.6,4,3.13,1
359-5718,249.5,93,11.23,8,5,2.16,2
385-3111,349.7,75,15.74,12.6,3,3.4,0
353-4880,263.7,90,11.87,5.1,7,1.38,1
419-6133,182.7,108,8.22,8.5,3,2.3,1
350-7344,180.6,118,8.13,9.7,4,2.62,0
397-6064,104.5,128,4.7,11.3,5,3.05,2
363-6896,205.7,121,9.26,10.2,3,2.75,3
416-9021,255.8,90,11.51,12.8,3,3.46,0
408-3269,159,110,7.15,7.9,2,2.13,1
408-9463,207.8,94,9.35,7.9,1,2.13,1
340-7062,170.3,128,7.66,12.6,8,3.4,1
417-4309,223.5,100,10.06,11.8,4,3.19,1
421-2659,228.6,119,10.29,9.5,3,2.57,2
383-2017,192.5,89,8.66,11.3,6,3.05,1
411-6294,103.7,127,4.67,5.9,6,1.59,3
332-9525,150.7,84,6.78,10.7,4,2.89,4
401-5012,239.9,92,10.8,7.6,3,2.05,3
368-8835,198,119,8.91,10.9,5,2.94,1
351-1382,170.8,118,7.69,15.7,5,4.24,2
359-7694,195.9,100,8.82,12.6,5,3.4,2
419-5505,156.7,123,7.05,4.9,5,1.32,3
341-4570,207.8,104,9.35,11.4,4,3.08,1
366-6991,120.5,93,5.42,9.3,9,2.51,1
377-7399,90.9,81,4.09,11.4,3,3.08,1
377-9092,119,112,5.36,11.4,4,3.08,2
373-6681,127.4,106,5.73,12.3,6,3.32,0
417-7736,231.5,87,10.42,8.9,4,2.4,1
393-2812,210.5,66,9.47,7.5,5,2.03,2
398-3176,232.1,110,10.44,10.6,2,2.86,1
380-5246,116.3,80,5.23,8.9,3,2.4,0
390-3873,154.6,95,6.96,9.8,7,2.65,2
354-4568,152.7,84,6.87,10.6,2,2.86,4
339-6968,82.4,73,3.71,10.1,4,2.73,0
379-5933,167.7,115,7.55,11.7,5,3.16,3
365-5682,352.5,111,15.86,8.1,4,2.19,3
382-8518,166.5,98,7.49,10.1,3,2.73,2
333-3460,213.3,120,9.6,16.5,7,4.46,5
375-8596,143.6,82,6.46,9.1,10,2.46,3
384-5907,193.8,103,8.72,11,2,2.97,1
373-2903,261.8,85,11.78,7.7,2,2.08,1
361-7702,188.1,127,8.46,11.2,5,3.02,2
388-5850,232.2,102,10.45,9,3,2.43,5
405-6298,239.5,94,10.78,8.8,5,2.38,1
368-2074,223,100,10.04,11.6,8,3.13,0
328-5050,180.9,120,8.14,7.8,4,2.11,2
395-5783,186.4,109,8.39,5.2,4,1.4,1
420-7301,244.9,106,11.02,9.9,10,2.67,3
328-2478,168.2,91,7.57,8.8,3,2.38,2
381-2460,210.1,133,9.45,8.3,4,2.24,4
373-5670,236.9,89,10.66,10.8,3,2.92,0
351-7016,219.5,104,9.88,6,3,1.62,2
394-9934,120.2,113,5.41,18,5,4.86,1
422-8268,245.4,93,11.04,11.2,7,3.02,2
373-7690,250.2,102,11.26,12.5,4,3.38,2
366-9781,23.2,102,1.04,9.5,4,2.57,3
404-5427,197.1,134,8.87,7.1,4,1.92,3
389-9783,165.1,113,7.43,11.5,7,3.11,4
348-2009,162.9,80,7.33,10.5,4,2.84,1
340-4236,195.6,97,8.8,10.1,5,2.73,1
348-1528,157.7,128,7.1,9,3,2.43,0
365-5039,228.1,97,10.26,5.4,7,1.46,1
411-1810,144.2,96,6.49,10.8,7,2.92,0
335-9066,183.3,80,8.25,8.7,6,2.35,0
362-7581,271.3,120,12.21,7.9,3,2.13,1
346-1095,220.2,68,9.91,13.2,2,3.56,4
390-7863,150.4,138,6.77,11.2,2,3.02,0
344-2416,281.1,93,12.65,11.4,2,3.08,2
360-7076,174.7,71,7.86,14.7,7,3.97,1
343-3961,245.7,69,11.06,13.1,5,3.54,2
414-7410,209.7,118,9.44,11.5,4,3.11,0
351-2535,289.6,95,13.03,10.4,6,2.81,4
416-9615,95.6,75,4.3,15,4,4.05,2
388-6479,163.9,99,7.38,9,3,2.43,4
390-2755,194.7,74,8.76,7.5,8,2.03,1
340-5930,154.7,87,6.96,7.7,3,2.08,2
401-3622,142,133,6.39,4.4,4,1.19,1
382-1104,254.8,123,11.47,10.5,4,2.84,0
355-9324,169,116,7.61,9.1,3,2.46,0
393-4843,297,93,13.37,14.5,5,3.92,1
401-4052,111.5,80,5.02,9.3,7,2.51,0
385-1830,206.1,102,9.27,12.4,9,3.35,1
348-7409,184.6,125,8.31,9.2,5,2.48,1
361-4910,175.9,97,7.92,8.4,3,2.27,0
415-6578,229.6,157,10.33,8.8,3,2.38,2
395-5015,236.3,121,10.63,12.9,4,3.48,2
369-6012,160.5,89,7.22,7.8,6,2.11,1
380-5873,210.6,84,9.48,10.2,2,2.75,3
372-5384,224,61,10.08,7.3,4,1.97,3
352-5697,227.4,80,10.23,12.9,4,3.48,1
373-4274,212.5,110,9.56,8.8,2,2.38,3
382-4024,136,73,6.12,10.8,2,2.92,2
331-9149,153,92,6.89,9.8,1,2.65,3
347-3958,170.6,114,7.68,13.8,4,3.73,0
389-2540,260.7,98,11.73,11.4,3,3.08,2
420-8308,249,98,11.21,8.9,7,2.4,1
384-7724,215.8,96,9.71,6.4,2,1.73,1
389-2114,63.6,122,2.86,7.3,1,1.97,2
335-4414,111.6,104,5.02,6.3,4,1.7,3
370-5361,153.2,69,6.89,11.8,2,3.19,2
374-5965,206.4,73,9.29,8.7,6,2.35,2
420-6414,381.9,147,17.19,7.5,5,2.03,2
392-2708,109.6,114,4.93,7.7,2,2.08,2
352-7234,207.2,86,9.32,6.1,3,1.65,3
337-9878,147.1,110,6.62,14.5,4,3.92,2
350-7288,168.6,134,7.59,8.9,5,2.4,1
392-6331,214,101,9.63,9.3,11,2.51,0
392-3315,217.4,102,9.78,12.6,5,3.4,2
389-7012,220.9,80,9.94,6.3,9,1.7,2
343-3846,193.7,100,8.72,10.1,9,2.73,1
370-4395,254.7,75,11.46,8,7,2.16,2
422-4394,154.4,91,6.95,13.8,2,3.73,2
405-1780,172.4,85,7.76,7.6,2,2.05,3
393-2220,226.5,90,10.19,10.5,4,2.84,3
355-8299,247,105,11.12,10.8,12,2.92,1
409-7034,189,129,8.5,11.3,2,3.05,0
358-1922,186.1,71,8.37,11.1,6,3,3
347-1870,206.7,116,9.3,9.3,3,2.51,2
380-1096,179.9,73,8.1,14.7,1,3.97,1
396-5790,241.6,125,10.87,11.5,2,3.11,1
356-5244,159,124,7.15,4.1,5,1.11,2
341-1412,153.4,60,6.9,10.6,8,2.86,0
338-6550,229.9,97,10.35,10.3,3,2.78,0
357-5801,266.9,86,12.01,11.9,5,3.21,1
403-1953,220,99,9.9,5.6,3,1.51,2
388-9653,159,115,7.15,11.9,5,3.21,1
359-2915,227.1,115,10.22,13.1,4,3.54,0
381-4562,250.6,102,11.28,11,3,2.97,0
406-2213,163.5,102,7.36,12.8,3,3.46,2
330-6436,193.9,103,8.73,13.6,14,3.67,3
332-4289,228.2,90,10.27,11.3,4,3.05,1
386-3596,191.9,83,8.64,12.8,6,3.46,3
337-3740,243.4,126,10.95,14.9,2,4.02,0
349-7291,135.7,100,6.11,13.1,8,3.54,2
385-1985,251.6,96,11.32,13.6,2,3.67,1
329-7102,160.4,121,7.22,9.9,2,2.67,3
394-2553,263.4,104,11.85,7.7,6,2.08,3
398-1959,180.5,82,8.12,11.6,3,3.13,1
408-7015,225.1,116,10.13,12.3,1,3.32,3
384-9254,170.6,93,7.68,8.6,4,2.32,1
355-9475,98.9,63,4.45,11.5,6,3.11,4
334-1337,150.2,143,6.76,7.3,9,1.97,1
359-1441,264.5,133,11.9,6.6,2,1.78,1
391-5442,197.1,93,8.87,8.9,5,2.4,1
374-1551,225.1,86,10.13,8.2,6,2.21,1
337-4749,191.8,95,8.63,8.5,7,2.3,0
403-5552,333.5,117,15.01,11.3,10,3.05,0
364-9240,261.7,120,11.78,13.4,10,3.62,1
404-9348,193.4,105,8.7,8.9,4,2.4,1
336-1462,202,127,9.09,10.2,2,2.75,3
364-8981,217.5,101,9.79,12,2,3.24,1
412-7606,192.2,98,8.65,11,1,2.97,1
380-6342,175.4,107,7.89,9.1,4,2.46,2
418-3017,135.4,118,6.09,8.2,2,2.21,2
367-3648,223.5,115,10.06,10.1,3,2.73,3
341-5892,235.7,113,10.61,8.9,3,2.4,0
334-4678,165.6,125,7.45,7.1,3,1.92,0
366-6751,302.8,102,13.63,7.6,3,2.05,1
397-8512,204.1,99,9.18,9.9,6,2.67,4
367-9495,190.4,115,8.57,15.3,4,4.13,1
379-2991,107.5,91,4.84,9.3,6,2.51,1
356-4832,226.7,109,10.2,8.4,5,2.27,3
366-4444,166.4,95,7.49,9.1,8,2.46,0
394-3806,143.3,82,6.45,13,4,3.51,1
368-5647,191.3,103,8.61,12.2,4,3.29,0
412-1076,197.7,100,8.9,11.5,5,3.11,4
413-7655,168.8,95,7.6,7.2,4,1.94,1
371-2316,243.6,84,10.96,11,4,2.97,1
420-3346,215.9,94,9.72,11.7,2,3.16,4
367-3971,175.8,114,7.91,0,0,0,3
417-5813,155.1,108,6.98,11.9,4,3.21,0
421-8535,256.6,101,11.55,5.7,4,1.54,1
375-1721,201.9,93,9.09,10.6,1,2.86,0
331-8484,163.6,88,7.36,9.5,1,2.57,3
367-7906,235.8,110,10.61,8.9,8,2.4,1
386-9177,118.3,77,5.32,11.8,3,3.19,1
420-6780,248.3,110,11.17,8.4,2,2.27,0
401-1454,260.4,78,11.72,12.2,5,3.29,1
379-2508,167.9,115,7.56,7.7,6,2.08,1
353-3492,210.6,121,9.48,9.4,4,2.54,1
406-4840,243.3,91,10.95,9.8,6,2.65,0
391-7982,234.7,134,10.56,9.7,4,2.62,1
379-9821,203.1,114,9.14,9.1,1,2.46,0
398-7414,192.9,106,8.68,7.6,3,2.05,3
338-8566,150.5,79,6.77,10.7,7,2.89,1
397-3058,139.8,106,6.29,5.7,7,1.54,2
389-8096,180.5,105,8.12,6.6,12,1.78,2
360-7404,210.7,102,9.48,10.4,7,2.81,0
411-5740,261.6,109,11.77,5.6,1,1.51,1
412-3726,152.8,132,6.88,10.4,3,2.81,1
372-7326,252.9,107,11.38,11.7,5,3.16,0
338-9873,222.3,113,10,4.6,2,1.24,2
383-4322,254.7,90,11.46,9.8,7,2.65,2
401-7654,148.6,85,6.69,9.6,6,2.59,2
410-5455,98.3,95,4.42,11.2,5,3.02,2
419-4310,233,79,10.49,7,7,1.89,1
367-2056,217.9,71,9.81,7.6,4,2.05,1
363-6695,249.9,110,11.25,11.3,5,3.05,1
374-6217,252.7,97,11.37,11.2,2,3.02,0
337-9569,161,74,7.25,12.2,2,3.29,1
350-9720,178.7,112,8.04,13.2,6,3.56,2
333-7460,133.6,82,6.01,10.8,7,2.92,1
378-3722,210.8,136,9.49,9.7,6,2.62,4
353-9339,224.9,112,10.12,15.1,6,4.08,2
386-6535,188.9,110,8.5,8.6,4,2.32,0
403-5575,119.1,99,5.36,5,10,1.35,1
331-5962,245,123,11.03,8.8,2,2.38,1
406-4560,139.4,97,6.27,9.2,7,2.48,1
359-6931,275.6,82,12.4,8.9,4,2.4,3
331-7342,377.5,114,16.99,9.7,2,2.62,1
367-2227,147.4,76,6.63,10.3,2,2.78,2
335-8836,220.8,131,9.94,8.3,2,2.24,0
398-6703,184.1,86,8.28,7.8,3,2.11,4
370-8379,167.4,83,7.53,12.7,6,3.43,4
335-3880,126.3,88,5.68,10.9,9,2.94,0
375-8761,184.5,113,8.3,9.5,2,2.57,2
367-1398,252.4,73,11.36,12.3,3,3.32,2
395-7857,221.1,115,9.95,8.1,3,2.19,2
386-3717,258.6,108,11.64,6.6,7,1.78,1
330-1175,150.9,113,6.79,9.9,4,2.67,1
418-6752,254.7,129,11.46,5.9,4,1.59,1
349-6464,238.4,114,10.73,8.6,4,2.32,1
366-7331,211.9,104,9.54,16.1,8,4.35,0
361-8288,182.1,76,8.19,9.3,3,2.51,3
377-6635,185.8,90,8.36,10,6,2.7,0
408-1513,83.9,123,3.78,8.1,4,2.19,2
370-7546,223.3,77,10.05,7.6,6,2.05,1
389-4278,228,94,10.26,9,5,2.43,3
379-3012,197.7,84,8.9,8.6,2,2.32,1
355-3620,184,99,8.28,5.1,3,1.38,0
372-2296,194.4,114,8.75,4.2,7,1.13,3
333-9728,173.8,116,7.82,15,1,4.05,0
415-6110,115.7,74,5.21,5.9,3,1.59,1
340-9803,158.7,104,7.14,8.1,5,2.19,0
395-7435,206.5,103,9.29,10.3,4,2.78,1
336-7143,249.6,85,11.23,16.3,6,4.4,0
352-2175,169.4,110,7.62,15.8,7,4.27,3
346-6352,218.8,95,9.85,5.9,4,1.59,0
405-7467,194.7,110,8.76,9.8,5,2.65,1
379-8526,195.3,108,8.79,9.7,7,2.62,2
410-5713,305.4,98,13.74,8.9,2,2.4,1
408-5916,205.8,120,9.26,11,5,2.97,0
370-5626,190.1,117,8.55,14.8,9,4,2
408-1331,164.4,98,7.4,9.4,4,2.54,3
419-9688,282.5,100,12.71,10,3,2.7,1
401-5586,193.5,139,8.71,15.4,3,4.16,1
377-9178,312.5,97,14.06,9.7,2,2.62,0
345-5639,244,76,10.98,11.1,2,3,0
336-3488,206.1,120,9.27,6.3,4,1.7,2
414-6426,222.5,91,10.01,11.8,2,3.19,2
335-5591,211.5,91,9.52,7,2,1.89,1
421-9144,227.3,106,10.23,12.8,3,3.46,1
422-7728,154.5,65,6.95,9.7,5,2.62,1
398-7978,210.7,109,9.48,4.9,10,1.32,2
346-8368,191.4,101,8.61,10.8,4,2.92,0
392-2722,255,90,11.48,11.7,6,3.16,3
393-3274,172.7,121,7.77,10.6,5,2.86,1
339-4636,210.2,95,9.46,11.1,3,3,0
349-7138,230.7,86,10.38,11.5,1,3.11,3
363-3295,162.5,117,7.31,12.2,6,3.29,1
407-9830,185.5,81,8.35,12.7,2,3.43,0
333-8822,168.8,94,7.6,5.9,4,1.59,8
419-6418,236.7,117,10.65,12.2,3,3.29,2
351-8955,280.5,147,12.62,8.5,3,2.3,2
338-1840,188.3,125,8.47,8.8,5,2.38,1
336-6997,248.3,110,11.17,10.7,3,2.89,2
408-6266,239.8,145,10.79,12,6,3.24,1
332-4291,252.2,120,11.35,6.6,5,1.78,3
355-7895,210.3,110,9.46,9.2,3,2.48,3
348-2916,211.1,113,9.5,8.6,2,2.32,1
339-8132,171,105,7.69,6.7,6,1.81,1
374-1684,65.7,91,2.96,4.2,1,1.13,1
362-7604,212.7,101,9.57,12,2,3.24,2
389-3206,311.8,121,14.03,7,3,1.89,1
336-2829,225.2,107,10.13,10,5,2.7,2
384-1135,194.2,100,8.74,12.4,2,3.35,1
390-2320,203.6,102,9.16,11.3,5,3.05,2
398-8578,194.3,113,8.74,8.9,3,2.4,2
393-9424,214.6,105,9.66,9.5,7,2.57,2
417-6330,221.6,66,9.97,9.7,2,2.62,3
340-6339,263.2,109,11.84,5.6,4,1.51,1
380-6571,212.4,98,9.56,11.4,3,3.08,2
368-6488,71.1,95,3.2,12.5,3,3.38,2
363-2193,129.1,73,5.81,13.1,6,3.54,1
328-1206,213.7,123,9.62,13.4,11,3.62,2
385-3540,221.3,108,9.96,9,2,2.43,0
372-8405,227.3,86,10.23,10.6,2,2.86,3
347-8205,237.7,81,10.7,12,8,3.24,2
328-2982,219.9,102,9.9,8.9,5,2.4,0
353-6038,152.3,116,6.85,10.7,5,2.89,0
416-8827,199.7,93,8.99,15.7,10,4.24,3
418-8450,270,87,12.15,7.6,4,2.05,3
385-7861,258.2,113,11.62,11.9,3,3.21,0
393-3507,235.5,105,10.6,12.7,6,3.43,1
372-5262,141.6,66,6.37,8.2,2,2.21,1
411-3095,104.1,91,4.68,11,1,2.97,2
331-5919,182.3,72,8.2,14.3,4,3.86,1
402-1556,170.6,93,7.68,10.5,10,2.84,1
349-7362,169.2,105,7.61,10.3,5,2.78,1
339-2734,227.2,125,10.22,14.4,3,3.89,1
330-4914,112.3,95,5.05,11.4,2,3.08,2
335-3681,135,68,6.08,16.4,3,4.43,2
405-1132,228.7,70,10.29,11.3,7,3.05,0
399-9239,220.9,97,9.94,13.3,10,3.59,1
350-7227,205,103,9.23,8.6,5,2.32,2
384-6654,259.9,105,11.7,9.6,2,2.59,0
376-4271,289.4,87,13.02,13.5,5,3.65,2
391-8124,256.6,102,11.55,14.8,4,4,2
393-2524,217.2,118,9.77,5.9,3,1.59,2
384-4385,151.5,101,6.82,8.9,4,2.4,0
377-8266,203.7,86,9.17,10,2,2.7,2
345-1243,207.5,117,9.34,12.9,1,3.48,0
394-8086,205.1,121,9.23,7.3,4,1.97,1
348-9145,288.8,78,13,0,0,0,1
376-5201,198.4,132,8.93,10.8,5,2.92,0
356-2093,209.5,102,9.43,9.5,10,2.57,2
353-2080,279.6,110,12.58,15.6,16,4.21,0
397-7500,274.4,101,12.35,11.4,2,3.08,1
414-5786,230.1,110,10.35,11.5,3,3.11,0
388-4282,281.4,107,12.66,17.3,3,4.67,2
415-5132,191.4,72,8.61,6.1,4,1.65,1
352-4541,253.5,97,11.41,10.1,9,2.73,1
373-5928,221.6,77,9.97,11.6,1,3.13,1
406-7737,185.9,99,8.37,12.7,4,3.43,1
332-7607,191,131,8.59,8.5,2,2.3,1
359-7788,172.2,100,7.75,10.4,6,2.81,3
384-1549,186.7,116,8.4,10.2,10,2.75,1
352-8508,162.1,80,7.29,8.8,5,2.38,2
404-1002,109.6,105,4.93,16.5,4,4.46,2
414-2905,166.8,83,7.51,10.6,6,2.86,0
380-9849,143.9,76,6.48,5.6,11,1.51,1
387-6498,271.2,96,12.2,9,2,2.43,1
360-6024,211.7,73,9.53,13.2,2,3.56,0
352-5815,253.4,82,11.4,12.6,5,3.4,1
414-9119,194.7,70,8.76,7.2,4,1.94,1
409-8796,227,74,10.22,12.7,4,3.43,1
337-2442,217.1,70,9.77,12.4,3,3.35,1
404-1931,239.1,95,10.76,5.8,6,1.57,1
367-9765,129.6,73,5.83,11.3,7,3.05,1
378-7299,152.1,120,6.84,11.1,5,3,2
410-5192,187.7,126,8.45,5.8,10,1.57,3
392-1734,168.2,68,7.57,6.3,2,1.7,3
395-6030,178.9,65,8.05,8.6,4,2.32,3
330-5168,170.8,139,7.69,8.2,5,2.21,0
334-3142,159,109,7.15,15.1,4,4.08,2
362-9983,79.3,95,3.57,8.8,2,2.38,2
414-2606,221.7,93,9.98,13.4,3,3.62,1
402-4501,261.6,100,11.77,4.5,4,1.22,0
400-3343,196.2,129,8.83,8.7,4,2.35,3
353-2450,150.3,83,6.76,11.3,4,3.05,2
406-2032,114.2,90,5.14,13.3,5,3.59,3
409-4462,191.4,120,8.61,11.1,4,3,1
392-5941,325.6,99,14.65,10.1,3,2.73,0
334-9182,154.7,78,6.96,12.9,7,3.48,3
346-3445,242.7,88,10.92,13.8,8,3.73,2
368-9507,285.4,83,12.84,11.2,4,3.02,0
382-3966,306.6,90,13.8,12.6,5,3.4,4
334-5844,200.6,79,9.03,11.2,2,3.02,0
362-9411,270,107,12.15,7,1,1.89,2
390-3565,173.4,92,7.8,3.8,2,1.03,3
384-3389,280.4,77,12.62,7.6,3,2.05,2
414-9717,272.8,97,12.28,10.9,4,2.94,0
357-1700,259.3,103,11.67,11,4,2.97,0
376-7207,172.4,109,7.76,11.9,6,3.21,1
346-4216,163.1,100,7.34,9.6,2,2.59,0
370-9533,179.7,111,8.09,7.9,1,2.13,0
372-1493,133.1,113,5.99,9.6,8,2.59,1
387-6031,161.9,123,7.29,11.3,5,3.05,1
366-6248,169.8,122,7.64,11.1,2,3,2
369-3756,290,61,13.05,9.8,6,2.65,0
363-1719,114.1,83,5.13,8.6,4,2.32,1
402-6666,132.6,98,5.97,12.7,7,3.43,2
408-9779,190.5,114,8.57,15.8,9,4.27,1
407-2441,197.8,71,8.9,8,3,2.16,2
384-5027,130.2,121,5.86,13.2,5,3.56,2
380-3161,238.2,108,10.72,10,8,2.7,2
360-8135,188,91,8.46,11.2,6,3.02,0
399-5426,285.7,89,12.86,9.5,3,2.57,0
385-2564,210.1,120,9.45,12,5,3.24,2
354-8491,210,96,9.45,8.9,6,2.4,1
394-6278,241.8,95,10.88,9.1,2,2.46,2
376-1000,174.3,99,7.84,11.7,1,3.16,2
397-1659,202,111,9.09,11,3,2.97,3
379-3953,188.9,75,8.5,10.1,3,2.73,1
418-6512,195.1,125,8.78,7.5,3,2.03,1
392-5296,311.1,79,14,7.3,3,1.97,3
355-3814,158.2,95,7.12,10.5,6,2.84,1
375-2098,261.7,129,11.78,11.3,3,3.05,3
356-4558,214.8,78,9.67,13.5,4,3.65,1
398-5788,270.4,110,12.17,8.5,5,2.3,0
390-4003,171.5,139,7.72,10.4,4,2.81,0
332-8103,104.7,114,4.71,9.6,2,2.59,1
418-2402,177.7,104,8,7.2,6,1.94,1
378-9090,165.8,114,7.46,10.7,2,2.89,1
350-6473,207.7,75,9.35,5,3,1.35,3
379-4583,281.3,120,12.66,10.7,5,2.89,1
411-5078,177.5,75,7.99,6,11,1.62,2
347-4982,246,107,11.07,6.4,3,1.73,2
341-9274,131.3,92,5.91,13.7,5,3.7,0
353-7461,143.2,112,6.44,14.7,2,3.97,3
371-7366,210,108,9.45,8.9,1,2.4,1
351-8398,210.4,83,9.47,10.9,7,2.94,1
329-2204,165.7,96,7.46,10.6,1,2.86,2
407-7507,115.6,101,5.2,12.3,4,3.32,3
405-8075,235.4,79,10.59,6.4,4,1.73,2
390-9698,129.6,119,5.83,10.2,1,2.75,0
403-4917,189.6,130,8.53,7.8,6,2.11,1
391-6709,209.9,130,9.45,8.1,10,2.19,1
389-5988,266.6,98,12,12.7,3,3.43,1
372-1534,305.4,74,13.74,14,6,3.78,2
395-6369,173,105,7.79,13.7,3,3.7,2
400-3197,171.7,80,7.73,10.5,8,2.84,5
384-5343,227.1,71,10.22,10.2,3,2.75,0
338-4472,161.5,123,7.27,7.7,5,2.08,2
332-2126,168.2,77,7.57,9,10,2.43,1
349-2157,273.4,91,12.3,8.9,8,2.4,1
385-2683,178.3,106,8.02,12.7,1,3.43,2
345-8350,192.8,105,8.68,7.1,4,1.92,1
334-4506,228.1,55,10.26,8.5,3,2.3,1
332-3544,226,118,10.17,12.9,4,3.48,2
380-5102,149.4,99,6.72,14.1,4,3.81,2
395-6149,194,83,8.73,10.8,5,2.92,3
398-8122,268.5,74,12.08,12.3,3,3.32,2
334-4438,175,111,7.88,14.2,5,3.83,3
384-7459,175.3,110,7.89,10.5,4,2.84,3
368-3931,197.4,65,8.88,11.4,5,3.08,1
353-1352,221.8,109,9.98,12.4,9,3.35,1
393-3635,173.2,124,7.79,12.5,5,3.38,1
381-2376,291.8,120,13.13,13.3,5,3.59,2
365-8114,153.8,107,6.92,12.4,6,3.35,1
415-5008,206.1,79,9.27,11.5,2,3.11,1
392-8318,286.3,80,12.88,6,4,1.62,0
401-4007,161.8,84,7.28,8.4,3,2.27,4
338-7709,192.7,85,8.67,9.4,5,2.54,2
345-3734,178,105,8.01,11.1,2,3,2
341-9396,129,105,5.81,7.2,2,1.94,3
408-6302,267.6,117,12.04,11.7,3,3.16,1
417-4063,116.4,110,5.24,11.2,3,3.02,4
375-6911,181.2,67,8.15,10.5,3,2.84,3
358-3604,269.8,115,12.14,9,7,2.43,2
339-7485,145.8,99,6.56,11.7,4,3.16,0
368-3078,164.7,116,7.41,10.3,5,2.78,4
386-9981,233.7,82,10.52,11.4,2,3.08,3
366-2541,228.6,109,10.29,13.3,4,3.59,0
335-3110,147.4,74,6.63,9.1,2,2.46,1
400-7809,231.4,93,10.41,14.3,3,3.86,1
333-2337,179.8,88,8.09,15.2,5,4.1,2
353-6482,210.7,131,9.48,6.1,1,1.65,1
397-8162,230.1,76,10.35,8.2,3,2.21,1
380-6722,193.8,134,8.72,12.3,1,3.32,1
329-2918,241.4,75,10.86,10.9,7,2.94,2
348-8022,170.2,77,7.66,7.1,4,1.92,1
388-4459,282.6,131,12.72,14.1,4,3.81,2
358-3114,196.1,126,8.82,11,5,2.97,1
343-9654,259.2,53,11.66,12.2,2,3.29,1
401-9909,201.8,76,9.08,9.5,5,2.57,4
404-9978,166,85,7.47,13.4,4,3.62,2
397-8011,247.2,131,11.12,12.6,3,3.4,2
408-1242,222.4,100,10.01,8.3,5,2.24,3
406-7726,239.5,83,10.78,3.5,6,0.95,0
351-2773,216.9,99,9.76,13.8,3,3.73,1
368-6174,157.4,93,7.08,14.8,1,4,0
413-1789,218.5,60,9.83,8.8,6,2.38,0
414-1246,300,99,13.5,4.8,3,1.3,0
386-1631,118.9,105,5.35,9.4,6,2.54,0
363-1208,276.6,78,12.45,3.7,5,1,3
334-5263,237.9,55,10.71,11.4,5,3.08,1
361-4137,131.3,123,5.91,5.8,2,1.57,1
374-8187,238,132,10.71,7.7,3,2.08,0
370-1525,188.7,117,8.49,10.2,1,2.75,0
392-5605,154.9,132,6.97,10,5,2.7,1
363-1366,268.4,154,12.08,14.1,7,3.81,1
358-5274,188.8,102,8.5,8.8,3,2.38,3
374-1213,218,103,9.81,8.8,2,2.38,1
351-5576,228.9,120,10.3,7.5,2,2.03,2
405-4420,141.2,82,6.35,11.9,5,3.21,1
340-2855,117.8,103,5.3,9.2,6,2.48,1
342-8002,165.3,114,7.44,12,6,3.24,2
355-6826,253.9,108,11.43,12.1,7,3.27,0
402-3886,209.5,108,9.43,8.9,6,2.4,0
336-5900,259.9,95,11.7,9.2,6,2.48,2
339-7684,241.2,127,10.85,7.7,2,2.08,1
390-2433,186,83,8.37,7.4,3,2,0
360-7246,171,106,7.69,11.5,1,3.11,1
406-6400,171.6,96,7.72,11.6,7,3.13,2
390-7370,229.4,120,10.32,10.5,3,2.84,2
405-7542,133.3,79,6,9.6,2,2.59,2
364-4927,252.9,106,11.38,9.1,3,2.46,0
329-3458,229,99,10.31,12.7,8,3.43,2
331-3842,114.5,89,5.15,12.5,10,3.38,1
343-4147,222.4,124,10.01,11.5,3,3.11,1
335-2274,281.5,87,12.67,6.6,1,1.78,1
343-3227,256.7,106,11.55,9.5,4,2.57,0
336-6907,228.2,109,10.27,11,5,2.97,0
360-1643,236.4,113,10.64,11.3,10,3.05,2
410-2518,170.5,120,7.67,11.3,7,3.05,1
344-4970,218.9,129,9.85,12,7,3.24,1
408-1486,116.1,125,5.22,15.1,3,4.08,1
396-1648,141.1,99,6.35,8,1,2.16,1
391-2022,165.4,148,7.44,10.9,3,2.94,1
398-2628,235.6,92,10.6,7.9,6,2.13,2
409-5519,287.8,144,12.95,8.2,5,2.21,0
391-8554,169.6,77,7.63,7.8,2,2.11,1
395-1693,195.7,103,8.81,12.3,5,3.32,1
393-3194,114.3,99,5.14,4.7,7,1.27,0
328-3402,210.2,123,9.46,9.2,3,2.48,2
411-4781,179.5,91,8.08,10.8,3,2.92,1
401-2581,231.7,99,10.43,6.1,6,1.65,0
385-1214,279.8,123,12.59,7.3,4,1.97,1
341-8412,123.8,131,5.57,15.2,4,4.1,1
330-8142,212.4,129,9.56,13,4,3.51,1
361-1404,203.6,95,9.16,10.2,11,2.75,0
375-9671,214.7,94,9.66,12,4,3.24,1
372-1824,87.5,90,3.94,6.2,10,1.67,1
408-3606,221.2,93,9.95,10.7,4,2.89,0
333-3595,263.9,96,11.88,8.5,6,2.3,2
379-7009,98,125,4.41,13.8,7,3.73,5
411-4940,210,93,9.45,8.5,5,2.3,1
408-6725,217.1,99,9.77,10.7,9,2.89,3
350-2384,185.6,92,8.35,11.7,6,3.16,0
348-1706,135.9,71,6.12,12.9,1,3.48,3
415-6145,217.4,106,9.78,12.4,2,3.35,3
373-3731,294.8,111,13.27,13.8,2,3.73,1
341-3349,227.5,153,10.24,11.9,5,3.21,0
